RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY,NN_DISTANCE,NN_STD,CONNECTIVITY,PERSISTENCE_INDEX,EMERGENT_GROUP
80.3697894924952,0.683242197265598,0.5191099,SDSS,80,0,15,0.34339869588458805,0.0482200565973648,0.7443806541300308,0.718206270788224,0
80.2038552354776,0.787040041723403,0.08010395,SDSS,80,0,15,0.21020927018493085,0.05549966638143559,0.8263033713559235,0.6885572133892814,0
80.1720194423649,0.846667976206608,0.2199219,SDSS,80,0,15,0.23917891041917252,0.04797450850899041,0.8069859740122058,0.69559172428665,0
90.7713852459095,0.253930559415309,0.4275764,SDSS,90,0,2,0.9592103365271976,0.44255423410735817,0.5104097203634359,0.8159415681871731,-1
90.7298706537529,0.227717046271379,0.5880927,SDSS,90,0,2,0.9395258786553262,0.4413273494444338,0.5155899238082352,0.8140793392482969,-1
89.7403387324833,0.292406867630796,0.552613,SDSS,89,0,2,0.925941238755787,0.1392225160198457,0.5192266409156017,0.8150152796235317,-1
88.00698138908,0.346208929844544,0.7928632,SDSS,88,0,1,0.8229423803347905,0.07068920660945097,0.5485636906506864,0.8061697654849949,-1
87.6249653983992,0.272072900708688,0.1500245,SDSS,87,0,12,0.38649287864207,0.08936040408797544,0.7212442381813018,0.7299847200277699,0
87.3332323544524,0.220422040785695,0.2588234,SDSS,87,0,12,0.3587364447309426,0.14085956192196356,0.7359779034984376,0.7242786313370777,0
87.2763674221158,0.252318675564364,0.2174197,SDSS,87,0,12,0.3735180661854952,0.14530307767992476,0.7280574057370636,0.7271068468646262,0
87.3959488393357,0.285613545290974,0.1193381,SDSS,87,0,12,0.34861047811800866,0.1291724286642168,0.7415039525686498,0.7223693599904659,0
87.2908148140057,0.285557332194098,0.7364672,SDSS,87,0,12,0.4006843392175789,0.1415971850937339,0.7139367322109128,0.7322355830825934,0
87.1449569462733,0.264512437284232,0.7064357,SDSS,87,0,12,0.3511405513346005,0.17036286824943364,0.740115452098778,0.7225642230597109,0
87.0235817832184,0.348781855562876,0.7065571,SDSS,87,0,12,0.34264597396037866,0.18107031041945604,0.7447979731025581,0.7207929108957324,0
86.9978080886199,0.357703015266769,0.7411852,SDSS,86,0,9,0.350051391114123,0.17894771156272707,0.7407125436719525,0.7260113001980563,0
86.1064329100908,0.310022576610627,0.3454711,SDSS,86,0,9,0.39421829254363694,0.08743031350448587,0.7172477978147755,0.7351695281699391,0
86.1662613990878,0.404535196092754,0.1206641,SDSS,86,0,9,0.39408303914166126,0.10882241896060998,0.7173173849211316,0.734985086731945,0
85.9961163909275,0.243688043592525,0.1210648,SDSS,85,0,11,0.3188482978892948,0.07480947440918065,0.7582373208506357,0.7179714428008719,0
85.7797349698074,0.309462203837918,0.1147904,SDSS,85,0,11,0.216796903079565,0.10906346308620933,0.821829836572662,0.6947433572227397,0
85.7384094505398,0.283343074389934,0.1498839,SDSS,85,0,11,0.21498493134173735,0.12050141720334169,0.823055475178343,0.6942154150664563,0
85.6152709372312,0.361782495022219,0.1484322,SDSS,85,0,11,0.20156488749108495,0.11128877271293662,0.8322480212350742,0.6909631827414395,0
85.7175745318452,0.312184719988049,0.1218914,SDSS,85,0,11,0.19476919818603616,0.11385297313115267,0.8369817379944633,0.6892340170901354,0
85.636965279422,0.407375724134304,0.1248497,SDSS,85,0,11,0.19362997264873205,0.09773890932708225,0.8377805709594773,0.6890654344032192,0
85.5920211406099,0.370440380973511,0.05301767,SDSS,85,0,11,0.21358897321814407,0.10582223648920779,0.8240022133261826,0.693982715855364,0
85.4808056360877,0.289600353006093,0.05318839,SDSS,85,0,11,0.30217275289230766,0.12122661451841907,0.767947261819801,0.7141180356426242,0
82.7110192539529,0.42212211402871,0.1795987,SDSS,82,0,2,0.9339195135675938,0.06693026206150957,0.5170846009797234,0.8163274449308549,-1
81.5420226109404,0.414856103303551,0.1785832,SDSS,81,0,20,0.3251620930110915,0.061054063917306216,0.7546246646157498,0.7081988362505576,0
81.419412599001,0.379345498714517,0.4437218,SDSS,81,0,20,0.36154302425037177,0.05704486622751066,0.7344608155519526,0.7155129479046092,0
