void_id,ra_deg,dec_deg,z,r_eff_mpc,source_catalog,vizier_catalog
16381,121.228,7.337,0.499,19.696,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17291,145.586,29.082,0.541,52.127,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18352,198.503,18.908,0.469,70.718,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6272,247.836,14.921,0.6,84.092,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19141,207.905,28.92,0.475,36.586,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16374,120.862,9.312,0.48,21.293,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9662,197.892,38.623,0.46,60.32,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15329,219.24,9.03,0.571,80.181,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12335,232.324,7.633,0.457,61.61,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16079,215.096,16.044,0.475,39.061,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21913,200.263,54.657,0.649,78.48,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5989,217.773,-0.965,0.537,37.154,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22124,178.895,44.425,0.655,68.394,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11881,140.807,5.285,0.638,80.672,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19612,201.267,28.931,0.644,87.078,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21507,150.881,57.13,0.54,104.931,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14622,241.838,10.411,0.477,36.965,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14901,144.727,8.356,0.638,91.289,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19724,149.915,27.741,0.647,92.325,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12909,230.188,37.032,0.497,46.648,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19870,183.948,28.562,0.659,68.091,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4687,206.793,-0.875,0.463,44.12,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15591,194.637,15.129,0.463,60.362,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
