idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index
210,15737,132.568,17.375,0.509,40.824,1.0736843833621323,3,3,6,16.266666666666666,30.833333333333332,14.8,30.8,13.195140000000002,41.661060000000006,0.3092710544939779,0.5189189189189094,0.3826478070427039
211,21432,173.998,48.315,0.463,58.039,1.6780998300194712,4,6,10,25.150000000000002,27.349999999999998,21.25,7.975,7.338870000000001,7.709519999999999,0.04190476190476102,0.024630541871919393,0.03585878489326645
215,17188,140.297,33.357,0.541,72.382,1.7910684232711684,5,18,23,5.9,13.905555555555555,7.0,12.299999999999999,5.0408399999999975,14.67774,0.40420757363251814,0.4887218045112537,0.43378755444007555
217,18319,167.005,20.388,0.485,72.904,2.0122803302927808,4,18,22,35.900000000000006,21.766666666666666,39.35,17.3,26.316149999999997,24.83355,-0.24508670520230796,-0.028985507246376205,-0.16945128591773184
220,16296,160.265,11.249,0.53,88.867,2.2446235399352346,7,13,20,11.671428571428573,10.346153846153847,10.2,7.699999999999999,5.78214,12.6021,-0.060191655020959564,0.3709677419354638,0.0907141339137886
221,16260,157.278,16.169,0.532,59.781,1.5042859756304785,3,7,10,21.666666666666668,26.557142857142857,18.2,25.6,5.782139999999997,17.642939999999996,0.10141206675224435,0.5063291139240291,0.243133033262369
225,16192,148.407,14.246,0.533,56.286,1.413683016987845,3,7,10,16.8,26.085714285714285,17.4,25.700000000000003,4.299540000000003,39.73368000000001,0.21652231845435868,0.8047138047137864,0.4223893386451584
228,19904,178.868,25.34,0.605,66.447,1.4702759949431456,4,15,19,11.075,12.226666666666668,9.25,10.5,9.636899999999999,12.750359999999999,0.04942421858235976,0.139072847682113,0.0808012387672734
235,18411,191.773,16.916,0.479,50.815,1.4201534719710447,3,7,10,13.083333333333334,17.62857142857143,11.25,12.650000000000002,1.4826,33.50675999999999,0.14799596867973783,0.9152542372881095,0.4165363626926679
237,15010,133.225,7.341,0.513,37.777,0.9858003418892491,4,3,7,45.625,28.400000000000002,43.85,27.9,11.786670000000004,32.76546,-0.23269165822356994,0.4708818635607213,0.013559074400931986
239,19989,177.092,26.006,0.456,51.355,1.5076368856033482,5,16,21,6.18,11.662500000000001,4.0,10.75,9.636899999999999,14.97426,0.3072719630096508,0.2168674698795093,0.2756303904141013
241,5990,217.981,-0.365,0.508,54.595,1.4386926385848522,4,8,12,10.35,10.212499999999999,10.45,7.45,8.08017,11.04537,-0.006686930091185137,0.15503875968991435,0.049917061332199676
243,19613,188.006,29.521,0.538,61.489,1.5300091140950902,4,5,9,9.325000000000001,18.72,8.85,7.3,4.966709999999999,4.0030199999999985,0.33499732572649893,-0.10743801652891373,0.1801449559371045
245,12747,254.916,30.779,0.541,55.399,1.3708297585145401,3,13,16,11.433333333333332,12.815384615384614,12.799999999999999,12.8,1.927380000000001,20.7564,0.05699481865284742,0.8300653594770877,0.3275695079413315
250,13931,133.575,31.836,0.572,55.933,1.3090340645649114,3,8,11,6.566666666666666,10.024999999999999,5.9,8.450000000000001,8.30256,12.676229999999999,0.2084379708688975,0.20848056537101478,0.20845287894463857
256,14984,150.589,10.021,0.471,63.479,1.80421393520991,5,15,20,26.98,23.566666666666663,28.4,14.5,30.68982,20.163359999999997,-0.06752835663413222,-0.20699708454810098,-0.11634241140402128
257,14345,247.612,39.902,0.477,75.612,2.1220284882850273,3,17,20,17.533333333333335,10.858823529411765,10.200000000000001,9.7,4.003020000000001,15.715560000000002,-0.23508287292816854,0.5939849624059849,0.055090869438785134
259,3606,206.866,36.398,0.605,58.982,1.3050975775239906,4,6,10,15.475000000000001,10.549999999999999,10.05,9.4,7.931909999999999,9.11799,-0.18924111431315327,0.06956521739130035,-0.0986588982165945
267,8772,151.594,44.012,0.507,53.279,1.4067825382391903,3,10,13,20.666666666666668,9.14,20.1,8.75,8.59908,11.19363,-0.38671438157010557,0.13108614232209076,-0.20548419820783687
270,17894,183.438,24.447,0.552,65.635,1.591751527301384,6,16,22,12.983333333333334,17.36875,10.899999999999999,7.1499999999999995,15.19665,12.6021,0.14448486512457476,-0.09333333333332998,0.0612484956643081
272,15251,196.406,11.659,0.563,80.408,1.911920054069456,4,14,18,39.6,19.95,40.099999999999994,20.5,13.639920000000004,21.349439999999998,-0.32997481108311794,0.22033898305084096,-0.13736498313623235
279,13055,236.789,33.413,0.652,77.758,1.596527300390694,3,11,14,16.733333333333334,27.336363636363636,14.8,18.7,25.2042,20.31162,0.24059685071855325,-0.10749185667752202,0.11876580312992692
281,21833,208.156,48.005,0.572,77.245,1.8078117804751506,5,17,22,12.339999999999998,17.447058823529414,11.2,17.0,14.825999999999999,12.157319999999999,0.17145226904695515,-0.09890109890109525,0.07682859026513753
289,19825,176.624,29.067,0.509,65.89,1.7329282779671495,6,16,22,18.216666666666665,13.381250000000001,14.150000000000002,11.05,6.004530000000001,13.343399999999999,-0.1530296037449677,0.3793103448275666,0.03328937825541929
290,21396,157.354,48.857,0.559,74.281,1.7788724014893367,5,16,21,9.9,8.524999999999999,11.5,4.25,10.3782,8.59908,-0.07462686567163786,-0.093749999999995,-0.08131996268656286
291,4335,229.988,20.961,0.459,62.025,1.8089766071604927,3,8,11,8.966666666666667,14.20625,6.5,9.850000000000001,13.639919999999998,16.493924999999997,0.2261080643711132,0.09471094710946794,0.18011907332953736
292,20968,197.323,65.043,0.514,56.628,1.4748469954665742,3,14,17,53.300000000000004,35.59285714285714,42.1,39.35000000000001,28.169400000000003,21.868350000000014,-0.19919646444354946,-0.12592592592592314,-0.17355177596238025
294,15070,180.852,15.02,0.561,34.963,0.8343047041814088,3,4,7,13.166666666666666,20.475,12.7,20.85,7.264739999999999,11.34189,0.2172405251424261,0.2191235059760839,0.21789956843420633
305,7610,124.101,26.647,0.576,67.201,1.5618240845091207,4,16,20,15.450000000000001,18.95,11.05,13.35,3.8547599999999993,23.86986,0.10174418604650862,0.7219251336898136,0.3188075177216654
306,13615,128.868,55.329,0.565,46.581,1.103669963402071,3,3,6,15.033333333333333,13.799999999999999,18.8,7.8999999999999995,5.9304,5.485619999999999,-0.042774566473986995,-0.0389610389610356,-0.04143983184445401
312,3521,197.98,37.565,0.506,48.418,1.2809588916480827,3,5,8,4.499999999999999,12.58,5.199999999999999,8.799999999999999,2.9652,10.08168,0.473067915690839,0.5454545454545038,0.4984032361081217
316,7635,123.577,26.117,0.46,53.031,1.5433017489629564,3,14,17,31.96666666666667,16.114285714285714,38.599999999999994,11.65,9.340380000000016,18.23598,-0.32970189165097863,0.32258064516127793,-0.10140300376668884
320,18106,200.485,22.071,0.46,61.53,1.7906386191791728,5,7,12,22.26,11.978571428571428,25.65,7.7,26.46441,17.49468,-0.30028789585679433,-0.20404721753793803,-0.2666036584451946
324,6214,241.971,19.115,0.645,81.969,1.7012525360095068,4,10,14,14.275000000000002,16.75,12.5,19.55,3.7064999999999997,14.381219999999999,0.07977437550362347,0.590163934426197,0.2584107211265242
325,21258,168.998,54.523,0.522,51.295,1.3154774099095665,4,10,14,29.875,24.575000000000003,28.5,17.45,21.79422,13.158074999999998,-0.09733700642791367,-0.2470837751855709,-0.1497483754930937
332,17908,193.443,25.632,0.529,55.564,1.4061015727368276,5,6,11,16.419999999999998,15.624999999999998,14.5,15.65,5.782139999999997,23.20269,-0.02480886253705649,0.6010230179027927,0.1942322956168907
341,21443,180.971,49.733,0.545,62.104,1.525463899031323,6,14,20,38.53333333333333,29.164285714285718,40.75,29.3,15.270779999999997,16.53099,-0.13839552632504273,0.039627039627038466,-0.07608762824181432
342,21788,224.759,54.917,0.482,49.425,1.3727090697028026,4,6,10,2.775,15.1,1.9499999999999993,15.1,2.8910699999999987,4.8184499999999995,0.6895104895104509,0.24999999999996775,0.5356818181817818
346,18030,196.331,22.504,0.635,77.419,1.6321222879252777,3,10,13,7.400000000000001,8.315,9.600000000000001,9.825,3.8547599999999993,5.0779049999999994,0.05822462615335285,0.13692946058089758,0.0857713182029935
358,13605,134.625,54.78,0.589,68.757,1.5627175443810202,3,8,11,11.399999999999999,17.2,7.3999999999999995,15.049999999999999,3.4099799999999996,9.636900000000002,0.20279720279719576,0.4772727272726909,0.298863636363619
360,8920,144.585,36.365,0.658,70.463,1.433554140211885,5,8,13,7.960000000000001,9.8375,6.399999999999999,6.800000000000001,10.081679999999999,11.119499999999999,0.10549234443039159,0.04895104895104665,0.08570289101262085
365,21702,206.853,53.332,0.648,67.235,1.3889904723239332,5,9,14,19.48,16.28888888888889,24.0,13.0,28.61418,20.0151,-0.08921471172961969,-0.17682926829267928,-0.11987980652669054
386,21899,192.242,46.368,0.629,67.491,1.4363956491974499,6,12,18,14.133333333333335,14.833333333333334,14.9,14.15,10.674719999999999,16.82751,0.02416570771001065,0.22371967654985717,0.09400959680395693
388,21759,222.427,52.381,0.522,53.902,1.382334795768505,3,9,12,9.166666666666666,14.377777777777778,9.5,13.9,12.157319999999999,9.785160000000001,0.22133081642283162,-0.10810810810810308,0.10602719283700447
392,11926,202.269,6.054,0.537,44.551,1.110611163215219,3,5,8,24.799999999999997,11.719999999999999,13.3,14.3,4.892580000000001,8.747339999999998,-0.35815991237677003,0.282608695652153,-0.13389089956664696
410,16021,225.87,12.87,0.462,64.148,1.8587458349542845,3,15,18,11.0,11.099999999999998,9.5,8.0,4.89258,11.119499999999999,0.004524886877827754,0.38888888888886464,0.13905228758169064
411,9724,173.99,41.386,0.459,59.161,1.7254472399229652,3,7,10,8.166666666666666,9.585714285714285,6.2,6.2,9.636899999999999,9.78516,0.07993562231759209,0.0076335877862591765,0.05462991023162557
413,22100,206.034,42.797,0.565,82.288,1.9496960981608296,3,17,20,25.366666666666664,8.14705882352941,19.5,5.1,20.7564,6.226919999999999,-0.5138076293002422,-0.5384615384615186,-0.5224364975066889
414,7247,122.775,30.055,0.514,41.362,1.077251914715131,3,5,8,5.366666666666667,11.38,6.500000000000001,3.4000000000000004,2.816939999999999,4.29954,0.35907643312099763,0.20833333333330428,0.30631634819530495
417,19174,155.192,32.921,0.579,54.512,1.260353628079812,3,3,6,16.2,16.033333333333335,6.099999999999998,17.3,1.6308599999999966,11.8608,-0.005170630816959435,0.7582417582417025,0.2620237053535722
433,22741,177.811,46.224,0.497,50.09,1.3491912201293246,4,11,15,28.049999999999997,19.05909090909091,28.575,16.75,10.192874999999999,20.608139999999995,-0.19085295252797738,0.3381468110709878,-0.005703035268339568
434,14385,241.929,7.448,0.492,34.876,0.9489436622873733,3,4,7,22.316666666666663,4.0,23.549999999999997,3.5999999999999996,5.337360000000002,3.63237,-0.6960101329955404,-0.1900826446280782,-0.5189355120669286
