RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
86.1828180159515,1.29621595318584,0.1315074,SDSS,86,1,8
81.6133783879045,1.34120288809852,0.2457022,SDSS,81,1,23
81.5406956983117,1.3799669493689,0.1491567,SDSS,81,1,23
81.2979880223249,1.32844937226292,0.6226996,SDSS,81,1,23
81.0363589116682,1.31128269466073,0.6312224,SDSS,81,1,23
81.065797775966,1.35053488044535,0.2184164,SDSS,81,1,23
80.8947471405676,1.40198922987804,0.1448618,SDSS,80,1,31
80.9826547984619,1.35005674109972,0.1245463,SDSS,80,1,31
80.5847142056174,1.31102000818205,0.3381552,SDSS,80,1,31
80.5575344200521,1.32703153874234,0.2550786,SDSS,80,1,31
80.6711802276542,1.42560381523056,0.2010886,SDSS,80,1,31
80.5246493524998,1.33068784264209,0.3270299,SDSS,80,1,31
80.4081564499979,1.38799620523786,0.2787474,SDSS,80,1,31
80.5137373904543,1.36405888652492,0.2417888,SDSS,80,1,31
80.2760140102845,1.36128001583844,0.2185884,SDSS,80,1,31
80.2419147696722,1.32571316387363,0.05080637,SDSS,80,1,31
80.168240460738,1.27711746296848,0.1436649,SDSS,80,1,31
80.0880040711754,1.36404211925617,0.1428345,SDSS,80,1,31
80.2226585086061,1.38642739697346,0.08754358,SDSS,80,1,31
80.2154735892919,1.3113354870554,0.08640796,SDSS,80,1,31
80.1996064083496,1.32120289112588,0.09000331,SDSS,80,1,31
80.1194902084204,1.3196468965765,0.0877929,SDSS,80,1,31
79.9527767357262,1.42776980749375,0.2145216,SDSS,79,1,8
79.8815681633436,1.39122089067121,0.2994733,SDSS,79,1,8
79.7919012859807,1.36384920600672,0.08605768,SDSS,79,1,8
79.9262780223189,1.36024873608446,0.08914367,SDSS,79,1,8
79.7859738912545,1.38142666080569,0.08649507,SDSS,79,1,8
101.562650408381,-0.855922861663239,0.2268779,SDSS,101,-1,3
101.36245723531,-0.849582253568925,0.4073607,SDSS,101,-1,3
101.284845126515,-0.765784903759715,0.2589196,SDSS,101,-1,3
100.374515198103,-0.738091437377951,0.08317085,SDSS,100,-1,1
72.3045401620105,0.972535428757481,0.7615644,SDSS,72,0,3
72.8281399277077,0.538872139294755,0.1372496,SDSS,72,0,3
72.7110765924604,0.597619835932347,0.619381,SDSS,72,0,3
73.4101876050536,0.0773150076627638,0.6687062,SDSS,73,0,2
71.5725856815549,0.0505640836931667,0.7546362,SDSS,71,0,2
71.6585946542449,-0.281837813294633,0.7753124,SDSS,71,-1,1
71.7252115468675,-1.15289729411323,0.574661,SDSS,71,-2,1
90.3118866019404,1.1476750533537,0.5518352,SDSS,90,1,2
90.1478678364987,1.19408543792486,0.2228697,SDSS,90,1,2
89.2526487300094,1.07664128092393,0.5498869,SDSS,89,1,1
87.5238066562298,1.07291873290275,0.2492466,SDSS,87,1,4
86.9846152190893,1.17404007766896,0.1374329,SDSS,86,1,8
86.4899040197658,1.06957641173781,0.329281,SDSS,86,1,8
86.0549447351681,1.12946199583164,0.0505817,SDSS,86,1,8
82.1394886402682,1.13287213880883,0.2861369,SDSS,82,1,4
82.0704020895901,1.09362586149845,0.2127712,SDSS,82,1,4
82.028510297136,1.10400342592331,0.2340893,SDSS,82,1,4
82.138894235229,1.06307163479155,0.1051184,SDSS,82,1,4
81.982507738776,1.18618904212465,0.2789071,SDSS,81,1,23
81.8712984852718,1.25880350904095,0.2412541,SDSS,81,1,23
81.8806719260448,1.07619311508435,0.1539949,SDSS,81,1,23
81.8950484236569,1.18818242076186,0.3496734,SDSS,81,1,23
81.7601593620055,1.13575891389692,0.1781208,SDSS,81,1,23
81.7297911865948,1.08805593994369,0.2001215,SDSS,81,1,23
81.7097851851613,1.23845260575835,0.2231724,SDSS,81,1,23
81.6700212391875,1.11040389130349,0.09943488,SDSS,81,1,23
81.6027845248013,1.19965576616097,0.2796982,SDSS,81,1,23
81.6751350324045,1.06865888192114,0.2772883,SDSS,81,1,23
81.5221773302446,1.16447063394647,0.1986541,SDSS,81,1,23
81.523948284951,1.24450560656287,0.1847318,SDSS,81,1,23
81.3721996199113,1.08591941871222,0.3390932,SDSS,81,1,23
81.3932475053143,1.09532281550688,0.3371158,SDSS,81,1,23
81.3121678292609,1.11270532530909,0.154615,SDSS,81,1,23
81.2452814674267,1.08102418936171,0.5890356,SDSS,81,1,23
81.1778075333523,1.21939638387649,0.1986111,SDSS,81,1,23
81.2514799253052,1.10647740399883,0.2800102,SDSS,81,1,23
80.9995841915264,1.17251331251664,0.2770321,SDSS,80,1,31
80.8613817554036,1.13060026482272,0.2772035,SDSS,80,1,31
80.9056681542697,1.06569461419576,0.3332535,SDSS,80,1,31
80.7204799544237,1.17875088851533,0.4926757,SDSS,80,1,31
80.7250243092905,1.14714383248374,0.6779121,SDSS,80,1,31
80.7965427379075,1.20981435997452,0.2780627,SDSS,80,1,31
80.2482811691715,1.13739714658025,0.1386698,SDSS,80,1,31
80.3284368055254,1.11356288726268,0.07978687,SDSS,80,1,31
80.0828630153478,1.1224280225282,0.2132795,SDSS,80,1,31
80.1656667551642,1.13285425079526,0.2815296,SDSS,80,1,31
80.1776882460812,1.24602119746761,0.2824636,SDSS,80,1,31
80.1351262715785,1.18667941555908,0.08704335,SDSS,80,1,31
80.1082048592195,1.17670033213907,0.1499286,SDSS,80,1,31
79.9578089137973,1.17557157755151,0.1493216,SDSS,79,1,8
80.0089314449174,1.2675021198077,0.1587895,SDSS,80,1,31
79.9662277117742,1.24328375157858,0.08677593,SDSS,79,1,8
79.8491286626005,1.24245563862871,0.331641,SDSS,79,1,8
89.1786936572882,0.778381049017548,0.6422896,SDSS,89,0,2
87.4810276609431,0.638043411211753,0.1136948,SDSS,87,0,12
87.545881409243,0.671736573137649,0.1494735,SDSS,87,0,12
87.3970168171749,0.667615530773026,0.5770968,SDSS,87,0,12
87.1444671715385,0.697449995178145,0.1142115,SDSS,87,0,12
87.0914837516824,0.715829650052541,0.5511391,SDSS,87,0,12
86.935269345841,0.846476686989467,0.7064624,SDSS,86,0,9
86.9123557042991,0.643412929778119,0.1160358,SDSS,86,0,9
86.8073341103938,0.784527230293982,0.7652942,SDSS,86,0,9
86.5699982564672,0.840121887185354,0.6197542,SDSS,86,0,9
86.1116353266908,0.64182455424233,0.2504243,SDSS,86,0,9
85.8849696248277,0.709815687546609,0.1146805,SDSS,85,0,11
85.6603854970392,0.648243932098602,0.05386671,SDSS,85,0,11
85.7030737768616,0.672030881261745,0.05184619,SDSS,85,0,11
82.0386790197966,0.847177136346427,0.06774854,SDSS,82,0,2
81.7210894730163,0.830818856234556,0.1064974,SDSS,81,0,20
81.7971652568405,0.794648897626412,0.199821,SDSS,81,0,20
81.8405335439681,0.761218942932896,0.2052611,SDSS,81,0,20
81.8328605774899,0.78762631938326,0.1006068,SDSS,81,0,20
81.7321199928584,0.755927608229475,0.3627982,SDSS,81,0,20
81.6498639352534,0.66055733228881,0.2948294,SDSS,81,0,20
81.7057004229671,0.72622338394851,0.2812921,SDSS,81,0,20
